"filename", "language", "JavaScript", "JSON", "Markdown", "JSON with Comments", "Vue", "HTML", "SQL", "CSS", "comment", "blank", "total"
"d:\EcoPaw\carbonfootprint\.eslintrc.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 0, 21
"d:\EcoPaw\carbonfootprint\README.md", "Markdown", 0, 0, 93, 0, 0, 0, 0, 0, 0, 18, 111
"d:\EcoPaw\carbonfootprint\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\EcoPaw\carbonfootprint\backend\config\auth.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 5, 3, 14
"d:\EcoPaw\carbonfootprint\backend\config\carbonfootprint.sql", "SQL", 0, 0, 0, 0, 0, 0, 51, 0, 11, 8, 70
"d:\EcoPaw\carbonfootprint\backend\config\db.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 12, 11, 67
"d:\EcoPaw\carbonfootprint\backend\controllers\achievementController.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 12, 11, 92
"d:\EcoPaw\carbonfootprint\backend\controllers\authController.js", "JavaScript", 198, 0, 0, 0, 0, 0, 0, 0, 31, 41, 270
"d:\EcoPaw\carbonfootprint\backend\controllers\carbonController.js", "JavaScript", 274, 0, 0, 0, 0, 0, 0, 0, 23, 39, 336
"d:\EcoPaw\carbonfootprint\backend\controllers\leaderboardController.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 23, 26, 189
"d:\EcoPaw\carbonfootprint\backend\controllers\petController.js", "JavaScript", 215, 0, 0, 0, 0, 0, 0, 0, 30, 48, 293
"d:\EcoPaw\carbonfootprint\backend\middleware\auth.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 7, 10, 70
"d:\EcoPaw\carbonfootprint\backend\middleware\rateLimit.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 16, 10, 66
"d:\EcoPaw\carbonfootprint\backend\models\Achievement.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 17, 16, 168
"d:\EcoPaw\carbonfootprint\backend\models\CarbonEmission.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 1, 5, 38
"d:\EcoPaw\carbonfootprint\backend\models\Leaderboard.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 0, 19, 18, 148
"d:\EcoPaw\carbonfootprint\backend\models\User.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 0, 17, 18, 152
"d:\EcoPaw\carbonfootprint\backend\models\VirtualPet.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 10, 23, 139
"d:\EcoPaw\carbonfootprint\backend\package-lock.json", "JSON", 0, 2102, 0, 0, 0, 0, 0, 0, 0, 1, 2103
"d:\EcoPaw\carbonfootprint\backend\package.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\EcoPaw\carbonfootprint\backend\routes\achievementRoutes.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 6, 6, 22
"d:\EcoPaw\carbonfootprint\backend\routes\authRoutes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 3, 3, 13
"d:\EcoPaw\carbonfootprint\backend\routes\carbonRoutes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 4, 4, 21
"d:\EcoPaw\carbonfootprint\backend\routes\leaderboardRoutes.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 7, 6, 23
"d:\EcoPaw\carbonfootprint\backend\routes\petRoutes.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 8, 8, 28
"d:\EcoPaw\carbonfootprint\backend\scripts\add_pet_experience.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 2, 1, 5
"d:\EcoPaw\carbonfootprint\backend\scripts\add_specific_users.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 7, 12, 69
"d:\EcoPaw\carbonfootprint\backend\scripts\add_specific_users.sql", "SQL", 0, 0, 0, 0, 0, 0, 15, 0, 5, 3, 23
"d:\EcoPaw\carbonfootprint\backend\scripts\check_test_user.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 8, 15, 78
"d:\EcoPaw\carbonfootprint\backend\scripts\run_seed.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"d:\EcoPaw\carbonfootprint\backend\scripts\seed_leaderboard.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 6, 9, 45
"d:\EcoPaw\carbonfootprint\backend\scripts\seed_leaderboard_data.sql", "SQL", 0, 0, 0, 0, 0, 0, 40, 0, 8, 5, 53
"d:\EcoPaw\carbonfootprint\backend\scripts\test_api.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 6, 11, 61
"d:\EcoPaw\carbonfootprint\backend\server.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 16, 15, 114
"d:\EcoPaw\carbonfootprint\dist\css\565.7e3d5eaa.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\EcoPaw\carbonfootprint\dist\css\720.74efebdf.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\EcoPaw\carbonfootprint\dist\css\737.1676986c.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\EcoPaw\carbonfootprint\dist\css\825.966bab26.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\EcoPaw\carbonfootprint\dist\css\90.baf154d3.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\EcoPaw\carbonfootprint\dist\css\app.8c631625.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\EcoPaw\carbonfootprint\dist\css\chunk-vendors.30d263e1.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 5
"d:\EcoPaw\carbonfootprint\dist\index.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\EcoPaw\carbonfootprint\dist\js\565.024e7594.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\EcoPaw\carbonfootprint\dist\js\720.f9c57e58.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\EcoPaw\carbonfootprint\dist\js\737.abf63903.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\EcoPaw\carbonfootprint\dist\js\825.b9d54e51.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\EcoPaw\carbonfootprint\dist\js\90.a091d87e.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\EcoPaw\carbonfootprint\dist\js\app.e313bdbe.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\EcoPaw\carbonfootprint\dist\js\chunk-vendors.db797610.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 14, 0, 21
"d:\EcoPaw\carbonfootprint\jsconfig.json", "JSON with Comments", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"d:\EcoPaw\carbonfootprint\package-lock.json", "JSON", 0, 12325, 0, 0, 0, 0, 0, 0, 0, 1, 12326
"d:\EcoPaw\carbonfootprint\package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"d:\EcoPaw\carbonfootprint\public\index.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 1, 0, 18
"d:\EcoPaw\carbonfootprint\src\App.vue", "Vue", 0, 0, 0, 0, 47, 0, 0, 0, 1, 8, 56
"d:\EcoPaw\carbonfootprint\src\components\Achievements.vue", "Vue", 0, 0, 0, 0, 666, 0, 0, 0, 21, 99, 786
"d:\EcoPaw\carbonfootprint\src\components\CarbonCalculator.vue", "Vue", 0, 0, 0, 0, 293, 0, 0, 0, 4, 42, 339
"d:\EcoPaw\carbonfootprint\src\components\CarbonReductionCalculator.vue", "Vue", 0, 0, 0, 0, 647, 0, 0, 0, 32, 89, 768
"d:\EcoPaw\carbonfootprint\src\components\Leaderboard.vue", "Vue", 0, 0, 0, 0, 1018, 0, 0, 0, 36, 164, 1218
"d:\EcoPaw\carbonfootprint\src\components\LoginForm.vue", "Vue", 0, 0, 0, 0, 315, 0, 0, 0, 6, 41, 362
"d:\EcoPaw\carbonfootprint\src\components\Message.vue", "Vue", 0, 0, 0, 0, 49, 0, 0, 0, 0, 9, 58
"d:\EcoPaw\carbonfootprint\src\components\MessageBox.vue", "Vue", 0, 0, 0, 0, 121, 0, 0, 0, 2, 16, 139
"d:\EcoPaw\carbonfootprint\src\components\Navbar.vue", "Vue", 0, 0, 0, 0, 150, 0, 0, 0, 1, 14, 165
"d:\EcoPaw\carbonfootprint\src\components\RegisterForm.vue", "Vue", 0, 0, 0, 0, 308, 0, 0, 0, 3, 30, 341
"d:\EcoPaw\carbonfootprint\src\components\VirtualPet.vue", "Vue", 0, 0, 0, 0, 668, 0, 0, 0, 24, 107, 799
"d:\EcoPaw\carbonfootprint\src\config\api.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 0, 21, 20, 145
"d:\EcoPaw\carbonfootprint\src\main.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 2, 20
"d:\EcoPaw\carbonfootprint\src\router\index.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 2, 5, 75
"d:\EcoPaw\carbonfootprint\src\store\index.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 9, 7, 114
"d:\EcoPaw\carbonfootprint\src\store\modules\message.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"d:\EcoPaw\carbonfootprint\src\views\AchievementsPage.vue", "Vue", 0, 0, 0, 0, 57, 0, 0, 0, 0, 6, 63
"d:\EcoPaw\carbonfootprint\src\views\CarbonCalculatorPage.vue", "Vue", 0, 0, 0, 0, 666, 0, 0, 0, 21, 92, 779
"d:\EcoPaw\carbonfootprint\src\views\CarbonReductionPage.vue", "Vue", 0, 0, 0, 0, 475, 0, 0, 0, 26, 63, 564
"d:\EcoPaw\carbonfootprint\src\views\Home.vue", "Vue", 0, 0, 0, 0, 259, 0, 0, 0, 2, 35, 296
"d:\EcoPaw\carbonfootprint\src\views\LeaderboardPage.vue", "Vue", 0, 0, 0, 0, 57, 0, 0, 0, 0, 6, 63
"d:\EcoPaw\carbonfootprint\src\views\Login.vue", "Vue", 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"d:\EcoPaw\carbonfootprint\src\views\Register.vue", "Vue", 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"d:\EcoPaw\carbonfootprint\src\views\VirtualPetPage.vue", "Vue", 0, 0, 0, 0, 56, 0, 0, 0, 0, 6, 62
"d:\EcoPaw\carbonfootprint\vue.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"Total", "-", 2228, 14487, 93, 19, 5896, 18, 108, 7, 561, 1280, 24697